"ID","Модуль","Функция","Статус","Уровень готовности (%)","Backend","Frontend","БД","Тесты","Доказательства","Проблемы","Что добавить","Приоритет"
"A1","A. Пользователи и доступ","Регистрация/вход через email (magic link)","Реализовано","90","apps/api/src/auth/auth.service.ts:25-75,94-142; auth.controller.ts:26-52","apps/web/src/app/login/LoginForm.tsx:28-69,210-233; apps/web/src/app/auth/callback/route.ts","MagicLinkToken (schema.prisma:29-39)","отсутствует","Токен=SHA256(random32), TTL 15 мин, одноразовый (usedAt), JWT 7d при верификации","Нет теста; нет rate-limit на /api/auth/magic-link (можно спамить email); JWT не отзывается (нет blacklist/refresh)","Rate limit, refresh-токены/logout-инвалидация, e2e тест","P1"
"A2","A. Пользователи и доступ","Регистрация/вход через Telegram (как основной способ логина)","Не реализовано","0","—","—","User.telegramId существует, но используется только для ПРИВЯЗКИ уже созданного email-аккаунта","—","apps/api/src/telegram/bot-admin.service.ts:36-55 — bindTelegramAccount привязывает Telegram к существующему userId, это не логин","Нет входа в кабинет через Telegram Login Widget / Mini App","Telegram Login Widget или Mini App auth flow","P2"
"A3","A. Пользователи и доступ","Несколько проектов (workspaces) на аккаунт","Реализовано","90","workspace.service.ts:11-62; workspace.controller.ts","apps/web/src/app/onboarding/page.tsx; workspace switcher (cookie cleartg_workspace)","Workspace, WorkspaceMember (schema.prisma:41-98)","отсутствует","listForUser возвращает все workspaces пользователя с ролью","Нет удаления/архивации workspace самим клиентом (только agency.deleteClientWorkspace)","Self-service удаление/переименование workspace","P3"
"A4","A. Пользователи и доступ","Приглашение сотрудников с ролью","Реализовано частично","50","workspace.service.ts:82-111 inviteMember; workspace.controller.ts:42-55","apps/web/src/app/settings/team/page.tsx; InviteMemberForm","WorkspaceMember.role (enum WorkspaceRole)","отсутствует","POST /api/workspaces/current/members создаёт/обновляет роль","НЕТ endpoint удаления участника/отзыва доступа (grep controller — только GET/POST); UI списка участников не имеет кнопки удаления (team/page.tsx:34-56)","DELETE /api/workspaces/current/members/:userId + UI + audit log","P1"
"A5","A. Пользователи и доступ","RBAC на backend (роли OWNER/ADMIN/MEMBER/VIEWER)","Реализовано с ошибками","40","common/guards/workspace.guard.ts:18-49 (проверяет только членство, НЕ роль); workspace.service.ts:113-123 (только управление участниками ограничено OWNER/ADMIN)","—","WorkspaceRole enum","отсутствует","WorkspaceGuard.canActivate не читает request.workspaceRole нигде кроме assertCanManageMembers; campaign/channel/tracking/integrations controllers не имеют @Roles()-подобной проверки","VIEWER может создавать/изменять кампании, каналы, интеграции, tracking-links — роль 'только просмотр' не соблюдается ни на одном мутирующем endpoint кроме управления участниками","RolesGuard + @Roles() decorator на всех write-endpoints, запрет VIEWER на POST/PUT/DELETE","P0"
"A6","A. Пользователи и доступ","Роль клиента агентства / агентский кабинет","Реализовано частично","50","agency.service.ts (весь файл); agency.controller.ts","apps/web/src/app/agency/clients/page.tsx","нет отдельной модели Agency — просто WorkspaceMember с ADMIN + один email из AGENCY_ADMIN_EMAIL","отсутствует","isAgencyAdmin() сравнивает email с ОДНОЙ env-переменной (agency.service.ts:23-26) — это не таблица агентств, а единственный хардкод-аккаунт","Нельзя иметь больше одного агентства/оператора; нет ролей внутри агентства; нет white-label","Таблица Agency + AgencyMember, множественные операторы","P2"
"A7","A. Пользователи и доступ","White-label доступ","Не реализовано","0","—","—","—","—","grep по всему репо не находит upstream брендинга/кастомного домена кабинета","—","Custom domain, лого/цвета на клиента","P2"
"A8","A. Пользователи и доступ","2FA","Не реализовано","0","—","—","—","—","grep -i '2fa|totp' по apps/packages — 0 совпадений","Единственный фактор — email magic link (или общий staging пароль)","TOTP опционально для OWNER/ADMIN","P2"
"A9","A. Пользователи и доступ","Журнал действий (audit log) / журнал входов","Реализовано частично","40","audit/audit.service.ts (log/list); вызовы найдены только в attribution.service.ts:83-93 и lead-magnet.service.ts:172-178","apps/web/src/app/settings/audit-log/page.tsx","AuditLog (schema.prisma:717-733)","отсутствует","grep 'audit.log(' — только 2 места вызова во всём apps/api; нет логирования входа, приглашений, изменения интеграций, удаления workspace","Audit log почти не заполняется на практике: login, invite, integration upsert, deletion не логируются","Audit-интерсептор на все мутации + login events","P1"
"A10","A. Пользователи и доступ","API-ключи / ключи отчётности","Заготовка","25","нет ApiKeyController/Service — только Prisma-модель","—","ApiKey (schema.prisma:735-747)","—","grep 'ApiKey' в apps/api/src — совпадений в контроллерах/сервисах нет, только в schema.prisma и generated client","Таблица существует, но нет endpoint создания/отзыва/использования ключей","ApiKeyModule (create/revoke/scopes) + guard, принимающий x-api-key","P2"
